video,country,continent,subcontinent,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
rdC3eFn1osI,US,NULL,NULL,55,0,0,0,0,0,0,0,92,0,100,44.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
rdC3eFn1osI,NULL,Americas,NULL,55,0,0,0,0,0,0,0,92,0,100,44.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,US,NULL,NULL,33,0,0,0,0,0,0,0,11,0,20,81.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
sfF8BzoUVGw,NULL,Americas,NULL,33,0,0,0,0,0,0,0,11,0,20,81.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,US,NULL,NULL,93,0,0,0,0,0,0,0,32,0,21,70.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
tNW2Y10a2II,NULL,Americas,NULL,93,0,0,0,0,0,0,0,32,0,21,70.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
twZArnTFKvA,US,NULL,NULL,23,0,0,0,0,0,0,0,47,0,124,26.780000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
twZArnTFKvA,NULL,Americas,NULL,23,0,0,0,0,0,0,0,47,0,124,26.780000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
vXd5--xqnVU,US,NULL,NULL,11,0,0,0,0,0,0,0,15,0,84,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
vXd5--xqnVU,NULL,Americas,NULL,11,0,0,0,0,0,0,0,15,0,84,14.59,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
wDAefGS4B2Q,US,NULL,NULL,13,0,0,0,0,0,0,0,39,0,184,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
wDAefGS4B2Q,NULL,Americas,NULL,13,0,0,0,0,0,0,0,39,0,184,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,IN,NULL,NULL,16,0,0,0,0,0,0,0,31,0,118,60.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Cann_az2T8E,NULL,Asia,NULL,16,0,0,0,0,0,0,0,31,0,118,60.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MTp5w7zmrRA,IN,NULL,NULL,16,0,0,0,0,0,0,0,3,0,11,42.21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
OMdpHaLLXDs,IN,NULL,NULL,10,0,0,0,0,0,0,0,2,0,15,50.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
PAKKJSZjY34,IN,NULL,NULL,12,0,0,0,0,0,0,0,16,0,84,18.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
